,identifier,response_id,sentence_number,token_number,token,lemma,pos
0,Q9_R_2wjiSHblELDyZMY_0_0,R_2wjiSHblELDyZMY,0,0,zonder,zonder,ADP
1,Q9_R_2wjiSHblELDyZMY_0_1,R_2wjiSHblELDyZMY,0,1,canon,canon,NOUN
2,Q9_R_2wjiSHblELDyZMY_0_2,R_2wjiSHblELDyZMY,0,2,kan,kunnen,AUX
3,Q9_R_2wjiSHblELDyZMY_0_3,R_2wjiSHblELDyZMY,0,3,je,je,PRON
4,Q9_R_2wjiSHblELDyZMY_0_4,R_2wjiSHblELDyZMY,0,4,niks,niks,PRON
5,Q9_R_2wjiSHblELDyZMY_0_5,R_2wjiSHblELDyZMY,0,5,plaatsen,plaatsen,VERB
6,Q9_R_2wjiSHblELDyZMY_0_6,R_2wjiSHblELDyZMY,0,6,of,of,SCONJ
7,Q9_R_2wjiSHblELDyZMY_0_7,R_2wjiSHblELDyZMY,0,7,je,je,PRON
8,Q9_R_2wjiSHblELDyZMY_0_8,R_2wjiSHblELDyZMY,0,8,nergens,nergens,ADV
9,Q9_R_2wjiSHblELDyZMY_0_9,R_2wjiSHblELDyZMY,0,9,tegen,tegen,ADP
10,Q9_R_2wjiSHblELDyZMY_0_10,R_2wjiSHblELDyZMY,0,10,verzetten,verzetten,VERB
11,Q9_R_2b0CIkQZZJq6ey6_0_0,R_2b0CIkQZZJq6ey6,0,0,Vanuit,vanuit,ADP
12,Q9_R_2b0CIkQZZJq6ey6_0_1,R_2b0CIkQZZJq6ey6,0,1,cultuurhistorisch,cultuurhistorisch,ADJ
13,Q9_R_2b0CIkQZZJq6ey6_0_2,R_2b0CIkQZZJq6ey6,0,2,opzicht,opzicht,NOUN
14,Q9_R_2b0CIkQZZJq6ey6_0_3,R_2b0CIkQZZJq6ey6,0,3,is,zijn,AUX
15,Q9_R_2b0CIkQZZJq6ey6_0_4,R_2b0CIkQZZJq6ey6,0,4,het,het,PRON
16,Q9_R_2b0CIkQZZJq6ey6_0_5,R_2b0CIkQZZJq6ey6,0,5,belangrijk,belangrijk,ADJ
17,Q9_R_2b0CIkQZZJq6ey6_0_6,R_2b0CIkQZZJq6ey6,0,6,te,te,ADP
18,Q9_R_2b0CIkQZZJq6ey6_0_7,R_2b0CIkQZZJq6ey6,0,7,weten,weten,VERB
19,Q9_R_2b0CIkQZZJq6ey6_0_8,R_2b0CIkQZZJq6ey6,0,8,welke,welk,DET
20,Q9_R_2b0CIkQZZJq6ey6_0_9,R_2b0CIkQZZJq6ey6,0,9,werken,werk,NOUN
21,Q9_R_2b0CIkQZZJq6ey6_0_10,R_2b0CIkQZZJq6ey6,0,10,impact,impact,NOUN
22,Q9_R_2b0CIkQZZJq6ey6_0_11,R_2b0CIkQZZJq6ey6,0,11,hadden,hebben,VERB
23,Q9_R_2b0CIkQZZJq6ey6_0_12,R_2b0CIkQZZJq6ey6,0,12,in,in,ADP
24,Q9_R_2b0CIkQZZJq6ey6_0_13,R_2b0CIkQZZJq6ey6,0,13,verschillende,verschillend,ADJ
25,Q9_R_2b0CIkQZZJq6ey6_0_14,R_2b0CIkQZZJq6ey6,0,14,periodes,periode,NOUN
26,Q9_R_2b0CIkQZZJq6ey6_0_15,R_2b0CIkQZZJq6ey6,0,15,die,die,PRON
27,Q9_R_2b0CIkQZZJq6ey6_0_16,R_2b0CIkQZZJq6ey6,0,16,aan,aan,ADP
28,Q9_R_2b0CIkQZZJq6ey6_0_17,R_2b0CIkQZZJq6ey6,0,17,de,de,DET
29,Q9_R_2b0CIkQZZJq6ey6_0_18,R_2b0CIkQZZJq6ey6,0,18,onze,ons,NOUN
30,Q9_R_2b0CIkQZZJq6ey6_0_19,R_2b0CIkQZZJq6ey6,0,19,voorafgaan,voorafgaan,VERB
31,Q9_R_2b0CIkQZZJq6ey6_0_20,R_2b0CIkQZZJq6ey6,0,20,.,.,PUNCT
32,Q9_R_2b0CIkQZZJq6ey6_1_0,R_2b0CIkQZZJq6ey6,1,0,Het,het,PRON
33,Q9_R_2b0CIkQZZJq6ey6_1_1,R_2b0CIkQZZJq6ey6,1,1,helpt,helpen,VERB
34,Q9_R_2b0CIkQZZJq6ey6_1_2,R_2b0CIkQZZJq6ey6,1,2,om,om,ADP
35,Q9_R_2b0CIkQZZJq6ey6_1_3,R_2b0CIkQZZJq6ey6,1,3,hedendaagse,hedendaags,ADJ
36,Q9_R_2b0CIkQZZJq6ey6_1_4,R_2b0CIkQZZJq6ey6,1,4,identiteitsdebatten,identiteitsdebatt,NOUN
37,Q9_R_2b0CIkQZZJq6ey6_1_5,R_2b0CIkQZZJq6ey6,1,5,te,te,ADP
38,Q9_R_2b0CIkQZZJq6ey6_1_6,R_2b0CIkQZZJq6ey6,1,6,begrijpen,begrijpen,VERB
39,Q9_R_2b0CIkQZZJq6ey6_1_7,R_2b0CIkQZZJq6ey6,1,7,.,.,PUNCT
40,Q9_R_3KC9NOZtxz4yZNY_0_0,R_3KC9NOZtxz4yZNY,0,0,We,we,PRON
41,Q9_R_3KC9NOZtxz4yZNY_0_1,R_3KC9NOZtxz4yZNY,0,1,hebben,hebben,VERB
42,Q9_R_3KC9NOZtxz4yZNY_0_2,R_3KC9NOZtxz4yZNY,0,2,de,de,DET
43,Q9_R_3KC9NOZtxz4yZNY_0_3,R_3KC9NOZtxz4yZNY,0,3,verantwoordelijkheid,verantwoordelijkheid,NOUN
44,Q9_R_3KC9NOZtxz4yZNY_0_4,R_3KC9NOZtxz4yZNY,0,4,om,om,ADP
