,identifyer,response_id,sentence_number,token,lemma,pos
0,Q11_R_2wjiSHblELDyZMY_0,R_2wjiSHblELDyZMY,0,leren,leren,VERB
1,Q11_R_2wjiSHblELDyZMY_0,R_2wjiSHblELDyZMY,0,lezen,lezen,VERB
2,Q11_R_2wjiSHblELDyZMY_0,R_2wjiSHblELDyZMY,0,en,en,CCONJ
3,Q11_R_2wjiSHblELDyZMY_0,R_2wjiSHblELDyZMY,0,literatuur,literatuur,NOUN
4,Q11_R_2wjiSHblELDyZMY_0,R_2wjiSHblELDyZMY,0,ontdekken,ontdekken,VERB
5,Q11_R_2wjiSHblELDyZMY_0,R_2wjiSHblELDyZMY,0,is,zijn,AUX
6,Q11_R_2wjiSHblELDyZMY_0,R_2wjiSHblELDyZMY,0,leren,leren,VERB
7,Q11_R_2wjiSHblELDyZMY_0,R_2wjiSHblELDyZMY,0,leven,leven,VERB
8,Q11_R_2wjiSHblELDyZMY_0,R_2wjiSHblELDyZMY,0,en,en,CCONJ
9,Q11_R_2wjiSHblELDyZMY_0,R_2wjiSHblELDyZMY,0,bevordert,bevordren,VERB
10,Q11_R_2wjiSHblELDyZMY_0,R_2wjiSHblELDyZMY,0,kritische,kritisch,ADJ
11,Q11_R_2wjiSHblELDyZMY_0,R_2wjiSHblELDyZMY,0,zin,zin,NOUN
12,Q11_R_2wjiSHblELDyZMY_0,R_2wjiSHblELDyZMY,0,en,en,CCONJ
13,Q11_R_2wjiSHblELDyZMY_0,R_2wjiSHblELDyZMY,0,empathie,empathie,NOUN
14,Q11_R_3KC9NOZtxz4yZNY_0,R_3KC9NOZtxz4yZNY,0,zie,zien,VERB
15,Q11_R_3KC9NOZtxz4yZNY_0,R_3KC9NOZtxz4yZNY,0,hiervoor,hiervoor,ADV
16,Q11_R_WCgHrYOqu4y0lJD_0,R_WCgHrYOqu4y0lJD,0,literatuurgeschiedenis,literatuurgeschiedenis,NOUN
17,Q11_R_WCgHrYOqu4y0lJD_0,R_WCgHrYOqu4y0lJD,0,is,zijn,AUX
18,Q11_R_WCgHrYOqu4y0lJD_0,R_WCgHrYOqu4y0lJD,0,minder,weinig,ADV
19,Q11_R_WCgHrYOqu4y0lJD_0,R_WCgHrYOqu4y0lJD,0,belangrijk,belangrijk,ADJ
20,Q11_R_WCgHrYOqu4y0lJD_0,R_WCgHrYOqu4y0lJD,0,dan,dan,SCONJ
21,Q11_R_WCgHrYOqu4y0lJD_0,R_WCgHrYOqu4y0lJD,0,leerlingen,leerling,NOUN
22,Q11_R_WCgHrYOqu4y0lJD_0,R_WCgHrYOqu4y0lJD,0,aan,aan,ADP
23,Q11_R_WCgHrYOqu4y0lJD_0,R_WCgHrYOqu4y0lJD,0,het,het,DET
24,Q11_R_WCgHrYOqu4y0lJD_0,R_WCgHrYOqu4y0lJD,0,lezen,lezen,VERB
25,Q11_R_WCgHrYOqu4y0lJD_0,R_WCgHrYOqu4y0lJD,0,krijgen,krijgen,VERB
26,Q11_R_1GQcznwkLtN07AD_0,R_1GQcznwkLtN07AD,0,Daarvoor,daarvoor,ADV
27,Q11_R_1GQcznwkLtN07AD_0,R_1GQcznwkLtN07AD,0,moet,moeten,AUX
28,Q11_R_1GQcznwkLtN07AD_0,R_1GQcznwkLtN07AD,0,je,je,PRON
29,Q11_R_1GQcznwkLtN07AD_0,R_1GQcznwkLtN07AD,0,de,de,DET
30,Q11_R_1GQcznwkLtN07AD_0,R_1GQcznwkLtN07AD,0,leerkrachten,leerkracht,NOUN
31,Q11_R_1GQcznwkLtN07AD_0,R_1GQcznwkLtN07AD,0,ook,ook,ADV
32,Q11_R_1GQcznwkLtN07AD_0,R_1GQcznwkLtN07AD,0,goed,goed,ADJ
33,Q11_R_1GQcznwkLtN07AD_0,R_1GQcznwkLtN07AD,0,opleiden,opleiden,VERB
34,Q11_R_1GQcznwkLtN07AD_0,R_1GQcznwkLtN07AD,0,.,.,PUNCT
35,Q11_R_SIRLhLtxBWnZIAh_0,R_SIRLhLtxBWnZIAh,0,De,de,DET
36,Q11_R_SIRLhLtxBWnZIAh_0,R_SIRLhLtxBWnZIAh,0,ontwikkeling,ontwikkeling,NOUN
37,Q11_R_SIRLhLtxBWnZIAh_0,R_SIRLhLtxBWnZIAh,0,van,van,ADP
38,Q11_R_SIRLhLtxBWnZIAh_0,R_SIRLhLtxBWnZIAh,0,de,de,DET
39,Q11_R_SIRLhLtxBWnZIAh_0,R_SIRLhLtxBWnZIAh,0,Nederlandse,Nederlands,ADJ
40,Q11_R_SIRLhLtxBWnZIAh_0,R_SIRLhLtxBWnZIAh,0,literatuurgeschiedenis,literatuurgeschiedenis,NOUN
41,Q11_R_SIRLhLtxBWnZIAh_0,R_SIRLhLtxBWnZIAh,0,hangt,hangen,VERB
42,Q11_R_SIRLhLtxBWnZIAh_0,R_SIRLhLtxBWnZIAh,0,nauw,nauw,ADJ
43,Q11_R_SIRLhLtxBWnZIAh_0,R_SIRLhLtxBWnZIAh,0,samen,samen,ADV
44,Q11_R_SIRLhLtxBWnZIAh_0,R_SIRLhLtxBWnZIAh,0,met,met,ADP
45,Q11_R_SIRLhLtxBWnZIAh_0,R_SIRLhLtxBWnZIAh,0,de,de,DET
