,identifier,response_id,sentence_number,token_number,token,lemma,pos
20,Q16_R_3R7kTXWEvBoSVfb_0_0,R_3R7kTXWEvBoSVfb,0,0,Hoe,hoe,ADV
21,Q16_R_3R7kTXWEvBoSVfb_0_1,R_3R7kTXWEvBoSVfb,0,1,confronterend,confronteren,VERB
22,Q16_R_3R7kTXWEvBoSVfb_0_2,R_3R7kTXWEvBoSVfb,0,2,dat,dat,SCONJ
23,Q16_R_3R7kTXWEvBoSVfb_0_3,R_3R7kTXWEvBoSVfb,0,3,ik,ik,PRON
24,Q16_R_3R7kTXWEvBoSVfb_0_4,R_3R7kTXWEvBoSVfb,0,4,niet,niet,ADV
25,Q16_R_3R7kTXWEvBoSVfb_0_5,R_3R7kTXWEvBoSVfb,0,5,in,in,ADP
26,Q16_R_3R7kTXWEvBoSVfb_0_6,R_3R7kTXWEvBoSVfb,0,6,staat,staat,NOUN
27,Q16_R_3R7kTXWEvBoSVfb_0_7,R_3R7kTXWEvBoSVfb,0,7,blijk,blijk,NOUN
28,Q16_R_3R7kTXWEvBoSVfb_0_8,R_3R7kTXWEvBoSVfb,0,8,hier,hier,ADV
29,Q16_R_3R7kTXWEvBoSVfb_0_9,R_3R7kTXWEvBoSVfb,0,9,titels,titel,NOUN
30,Q16_R_3R7kTXWEvBoSVfb_0_10,R_3R7kTXWEvBoSVfb,0,10,te,te,ADP
31,Q16_R_3R7kTXWEvBoSVfb_0_11,R_3R7kTXWEvBoSVfb,0,11,suggereren,suggereren,VERB
32,Q16_R_3R7kTXWEvBoSVfb_0_12,R_3R7kTXWEvBoSVfb,0,12,...,...,PUNCT
33,Q16_R_3KZLs4351BCvgEe_0_0,R_3KZLs4351BCvgEe,0,0,IK,iK,PRON
34,Q16_R_3KZLs4351BCvgEe_0_1,R_3KZLs4351BCvgEe,0,1,vrees,vrezen,VERB
35,Q16_R_3KZLs4351BCvgEe_0_2,R_3KZLs4351BCvgEe,0,2,dat,dat,SCONJ
36,Q16_R_3KZLs4351BCvgEe_0_3,R_3KZLs4351BCvgEe,0,3,teksten,tekst,NOUN
37,Q16_R_3KZLs4351BCvgEe_0_4,R_3KZLs4351BCvgEe,0,4,uit,uit,ADP
38,Q16_R_3KZLs4351BCvgEe_0_5,R_3KZLs4351BCvgEe,0,5,de,de,DET
39,Q16_R_3KZLs4351BCvgEe_0_6,R_3KZLs4351BCvgEe,0,6,voormalige,voormalig,ADJ
40,Q16_R_3KZLs4351BCvgEe_0_7,R_3KZLs4351BCvgEe,0,7,koloniale,koloniaal,ADJ
41,Q16_R_3KZLs4351BCvgEe_0_8,R_3KZLs4351BCvgEe,0,8,gebieden,gebied,NOUN
42,Q16_R_3KZLs4351BCvgEe_0_9,R_3KZLs4351BCvgEe,0,9,-,-,PUNCT
43,Q16_R_3KZLs4351BCvgEe_0_10,R_3KZLs4351BCvgEe,0,10,daaronder,daaronder,ADV
44,Q16_R_3KZLs4351BCvgEe_0_11,R_3KZLs4351BCvgEe,0,11,versta,verstaen,VERB
45,Q16_R_3KZLs4351BCvgEe_0_12,R_3KZLs4351BCvgEe,0,12,ik,ik,PRON
46,Q16_R_3KZLs4351BCvgEe_0_13,R_3KZLs4351BCvgEe,0,13,:,:,PUNCT
47,Q16_R_3KZLs4351BCvgEe_0_14,R_3KZLs4351BCvgEe,0,14,teksten,tekst,NOUN
48,Q16_R_3KZLs4351BCvgEe_0_15,R_3KZLs4351BCvgEe,0,15,geschreven,schrijven,VERB
49,Q16_R_3KZLs4351BCvgEe_0_16,R_3KZLs4351BCvgEe,0,16,door,door,ADP
50,Q16_R_3KZLs4351BCvgEe_0_17,R_3KZLs4351BCvgEe,0,17,de,de,DET
51,Q16_R_3KZLs4351BCvgEe_0_18,R_3KZLs4351BCvgEe,0,18,gekoloniseerde,koloniseren,VERB
52,Q16_R_3KZLs4351BCvgEe_0_19,R_3KZLs4351BCvgEe,0,19,-,-,PUNCT
53,Q16_R_3KZLs4351BCvgEe_0_20,R_3KZLs4351BCvgEe,0,20,zodanig,zodanig,ADJ
54,Q16_R_3KZLs4351BCvgEe_0_21,R_3KZLs4351BCvgEe,0,21,onderbelicht,onderbelicht,ADJ
55,Q16_R_3KZLs4351BCvgEe_0_22,R_3KZLs4351BCvgEe,0,22,blijven,blijven,VERB
56,Q16_R_3KZLs4351BCvgEe_0_23,R_3KZLs4351BCvgEe,0,23,in,in,ADP
57,Q16_R_3KZLs4351BCvgEe_0_24,R_3KZLs4351BCvgEe,0,24,de,de,DET
58,Q16_R_3KZLs4351BCvgEe_0_25,R_3KZLs4351BCvgEe,0,25,literatuurgeschiedenis,literatuurgeschiedenis,NOUN
59,Q16_R_3KZLs4351BCvgEe_0_26,R_3KZLs4351BCvgEe,0,26,",",",",PUNCT
60,Q16_R_3KZLs4351BCvgEe_0_27,R_3KZLs4351BCvgEe,0,27,dat,dat,SCONJ
61,Q16_R_3KZLs4351BCvgEe_0_28,R_3KZLs4351BCvgEe,0,28,ik,ik,PRON
62,Q16_R_3KZLs4351BCvgEe_0_29,R_3KZLs4351BCvgEe,0,29,hier,hier,ADV
63,Q16_R_3KZLs4351BCvgEe_0_30,R_3KZLs4351BCvgEe,0,30,nauwelijks,nauwelijks,ADV
64,Q16_R_3KZLs4351BCvgEe_0_31,R_3KZLs4351BCvgEe,0,31,goed,goed,ADJ
65,Q16_R_3KZLs4351BCvgEe_0_32,R_3KZLs4351BCvgEe,0,32,op,op,ADP
66,Q16_R_3KZLs4351BCvgEe_0_33,R_3KZLs4351BCvgEe,0,33,kan,kunnen,AUX
67,Q16_R_3KZLs4351BCvgEe_0_34,R_3KZLs4351BCvgEe,0,34,antwoorden,aanantwoorden,VERB
68,Q16_R_3KZLs4351BCvgEe_0_35,R_3KZLs4351BCvgEe,0,35,.,.,PUNCT
69,Q16_R_2VKm48sb5BeBpGl_0_0,R_2VKm48sb5BeBpGl,0,0,Geen,geen,PRON
70,Q16_R_2VKm48sb5BeBpGl_0_1,R_2VKm48sb5BeBpGl,0,1,moeten,moeten,VERB
71,Q16_R_2VKm48sb5BeBpGl_0_2,R_2VKm48sb5BeBpGl,0,2,",",",",PUNCT
72,Q16_R_2VKm48sb5BeBpGl_0_3,R_2VKm48sb5BeBpGl,0,3,maar,maar,CCONJ
73,Q16_R_2VKm48sb5BeBpGl_0_4,R_2VKm48sb5BeBpGl,0,4,kunnen,kunnen,VERB
74,Q16_R_2VKm48sb5BeBpGl_0_5,R_2VKm48sb5BeBpGl,0,5,.,.,PUNCT
75,Q16_R_2VKm48sb5BeBpGl_1_0,R_2VKm48sb5BeBpGl,1,0,Als,als,SCONJ
76,Q16_R_2VKm48sb5BeBpGl_1_1,R_2VKm48sb5BeBpGl,1,1,de,de,DET
77,Q16_R_2VKm48sb5BeBpGl_1_2,R_2VKm48sb5BeBpGl,1,2,canon,canon,NOUN
78,Q16_R_2VKm48sb5BeBpGl_1_3,R_2VKm48sb5BeBpGl,1,3,zo,zo,ADV
79,Q16_R_2VKm48sb5BeBpGl_1_4,R_2VKm48sb5BeBpGl,1,4,',',PUNCT
80,Q16_R_2VKm48sb5BeBpGl_1_5,R_2VKm48sb5BeBpGl,1,5,klein,klein,ADJ
81,Q16_R_2VKm48sb5BeBpGl_1_6,R_2VKm48sb5BeBpGl,1,6,',',PUNCT
82,Q16_R_2VKm48sb5BeBpGl_1_7,R_2VKm48sb5BeBpGl,1,7,is,zijn,AUX
83,Q16_R_2VKm48sb5BeBpGl_1_8,R_2VKm48sb5BeBpGl,1,8,",",",",PUNCT
84,Q16_R_2VKm48sb5BeBpGl_1_9,R_2VKm48sb5BeBpGl,1,9,zou,zullen,AUX
85,Q16_R_2VKm48sb5BeBpGl_1_10,R_2VKm48sb5BeBpGl,1,10,ik,ik,PRON
86,Q16_R_2VKm48sb5BeBpGl_1_11,R_2VKm48sb5BeBpGl,1,11,het,het,DET
87,Q16_R_2VKm48sb5BeBpGl_1_12,R_2VKm48sb5BeBpGl,1,12,aantal,aantal,NOUN
88,Q16_R_2VKm48sb5BeBpGl_1_13,R_2VKm48sb5BeBpGl,1,13,eisen,eis,NOUN
89,Q16_R_2VKm48sb5BeBpGl_1_14,R_2VKm48sb5BeBpGl,1,14,eraan,eraan,ADV
90,Q16_R_2VKm48sb5BeBpGl_1_15,R_2VKm48sb5BeBpGl,1,15,niet,niet,ADV
91,Q16_R_2VKm48sb5BeBpGl_1_16,R_2VKm48sb5BeBpGl,1,16,vergroten,vergroten,VERB
92,Q16_R_2VKm48sb5BeBpGl_1_17,R_2VKm48sb5BeBpGl,1,17,.,.,PUNCT
93,Q16_R_3ea9n0UZBXZsx7o_0_0,R_3ea9n0UZBXZsx7o,0,0,Ik,ik,PRON
94,Q16_R_3ea9n0UZBXZsx7o_0_1,R_3ea9n0UZBXZsx7o,0,1,kan,kunnen,AUX
95,Q16_R_3ea9n0UZBXZsx7o_0_2,R_3ea9n0UZBXZsx7o,0,2,er,er,ADV
96,Q16_R_3ea9n0UZBXZsx7o_0_3,R_3ea9n0UZBXZsx7o,0,3,nauwelijks,nauwelijks,ADV
97,Q16_R_3ea9n0UZBXZsx7o_0_4,R_3ea9n0UZBXZsx7o,0,4,noemen,noemen,VERB
98,Q16_R_3ea9n0UZBXZsx7o_0_5,R_3ea9n0UZBXZsx7o,0,5,--,--,PUNCT
99,Q16_R_3ea9n0UZBXZsx7o_0_6,R_3ea9n0UZBXZsx7o,0,6,dit,dit,PRON
100,Q16_R_3ea9n0UZBXZsx7o_0_7,R_3ea9n0UZBXZsx7o,0,7,is,zijn,AUX
101,Q16_R_3ea9n0UZBXZsx7o_0_8,R_3ea9n0UZBXZsx7o,0,8,waarschijnlijk,waarschijnlijk,ADJ
102,Q16_R_3ea9n0UZBXZsx7o_0_9,R_3ea9n0UZBXZsx7o,0,9,deel,deel,NOUN
103,Q16_R_3ea9n0UZBXZsx7o_0_10,R_3ea9n0UZBXZsx7o,0,10,van,van,ADP
104,Q16_R_3ea9n0UZBXZsx7o_0_11,R_3ea9n0UZBXZsx7o,0,11,het,het,DET
105,Q16_R_3ea9n0UZBXZsx7o_0_12,R_3ea9n0UZBXZsx7o,0,12,probleem,probleem,NOUN
106,Q16_R_3ea9n0UZBXZsx7o_0_13,R_3ea9n0UZBXZsx7o,0,13,.,.,PUNCT
107,Q16_R_ea21S3UHxZ1qV9f_0_0,R_ea21S3UHxZ1qV9f,0,0,Ik,ik,PRON
108,Q16_R_ea21S3UHxZ1qV9f_0_1,R_ea21S3UHxZ1qV9f,0,1,heb,hebben,AUX
109,Q16_R_ea21S3UHxZ1qV9f_0_2,R_ea21S3UHxZ1qV9f,0,2,enkel,enkel,ADV
110,Q16_R_ea21S3UHxZ1qV9f_0_3,R_ea21S3UHxZ1qV9f,0,3,oorspronkelijk,oorspronkelijk,ADJ
111,Q16_R_ea21S3UHxZ1qV9f_0_4,R_ea21S3UHxZ1qV9f,0,4,Nederlandstalige,Nederlandstalig,ADJ
112,Q16_R_ea21S3UHxZ1qV9f_0_5,R_ea21S3UHxZ1qV9f,0,5,teksten,tekst,NOUN
113,Q16_R_ea21S3UHxZ1qV9f_0_6,R_ea21S3UHxZ1qV9f,0,6,toegevoegd,toevoegen,VERB
114,Q16_R_ea21S3UHxZ1qV9f_0_7,R_ea21S3UHxZ1qV9f,0,7,.,.,PUNCT
115,Q16_R_ea21S3UHxZ1qV9f_1_0,R_ea21S3UHxZ1qV9f,1,0,In,in,ADP
116,Q16_R_ea21S3UHxZ1qV9f_1_1,R_ea21S3UHxZ1qV9f,1,1,het,het,DET
117,Q16_R_ea21S3UHxZ1qV9f_1_2,R_ea21S3UHxZ1qV9f,1,2,geval,geval,NOUN
118,Q16_R_ea21S3UHxZ1qV9f_1_3,R_ea21S3UHxZ1qV9f,1,3,van,van,ADP
119,Q16_R_ea21S3UHxZ1qV9f_1_4,R_ea21S3UHxZ1qV9f,1,4,de,de,DET
120,Q16_R_ea21S3UHxZ1qV9f_1_5,R_ea21S3UHxZ1qV9f,1,5,Congolese,Congolees,ADJ
121,Q16_R_ea21S3UHxZ1qV9f_1_6,R_ea21S3UHxZ1qV9f,1,6,literatuur,literatuur,NOUN
122,Q16_R_ea21S3UHxZ1qV9f_1_7,R_ea21S3UHxZ1qV9f,1,7,is,zijn,AUX
123,Q16_R_ea21S3UHxZ1qV9f_1_8,R_ea21S3UHxZ1qV9f,1,8,dit,dit,PRON
124,Q16_R_ea21S3UHxZ1qV9f_1_9,R_ea21S3UHxZ1qV9f,1,9,niet,niet,ADV
125,Q16_R_ea21S3UHxZ1qV9f_1_10,R_ea21S3UHxZ1qV9f,1,10,evident,evident,ADJ
126,Q16_R_ea21S3UHxZ1qV9f_1_11,R_ea21S3UHxZ1qV9f,1,11,.,.,PUNCT
127,Q16_R_ea21S3UHxZ1qV9f_2_0,R_ea21S3UHxZ1qV9f,2,0,Om,om,ADP
128,Q16_R_ea21S3UHxZ1qV9f_2_1,R_ea21S3UHxZ1qV9f,2,1,ook,ook,ADV
129,Q16_R_ea21S3UHxZ1qV9f_2_2,R_ea21S3UHxZ1qV9f,2,2,teksten,tekst,NOUN
130,Q16_R_ea21S3UHxZ1qV9f_2_3,R_ea21S3UHxZ1qV9f,2,3,van,van,ADP
131,Q16_R_ea21S3UHxZ1qV9f_2_4,R_ea21S3UHxZ1qV9f,2,4,niet-witte,niet-witte,NOUN
132,Q16_R_ea21S3UHxZ1qV9f_2_5,R_ea21S3UHxZ1qV9f,2,5,",",",",PUNCT
133,Q16_R_ea21S3UHxZ1qV9f_2_6,R_ea21S3UHxZ1qV9f,2,6,Congolese,Congolees,ADJ
134,Q16_R_ea21S3UHxZ1qV9f_2_7,R_ea21S3UHxZ1qV9f,2,7,auteurs,auteur,NOUN
135,Q16_R_ea21S3UHxZ1qV9f_2_8,R_ea21S3UHxZ1qV9f,2,8,erbij,erbij,ADV
136,Q16_R_ea21S3UHxZ1qV9f_2_9,R_ea21S3UHxZ1qV9f,2,9,te,te,ADP
137,Q16_R_ea21S3UHxZ1qV9f_2_10,R_ea21S3UHxZ1qV9f,2,10,betrekken,betrekken,VERB
138,Q16_R_ea21S3UHxZ1qV9f_2_11,R_ea21S3UHxZ1qV9f,2,11,",",",",PUNCT
139,Q16_R_ea21S3UHxZ1qV9f_2_12,R_ea21S3UHxZ1qV9f,2,12,moet,moeten,AUX
140,Q16_R_ea21S3UHxZ1qV9f_2_13,R_ea21S3UHxZ1qV9f,2,13,toch,toch,ADV
141,Q16_R_ea21S3UHxZ1qV9f_2_14,R_ea21S3UHxZ1qV9f,2,14,naar,naar,ADP
142,Q16_R_ea21S3UHxZ1qV9f_2_15,R_ea21S3UHxZ1qV9f,2,15,bijvoorbeeld,bijvoorbeeld,ADV
143,Q16_R_ea21S3UHxZ1qV9f_2_16,R_ea21S3UHxZ1qV9f,2,16,Franse,Frans,ADJ
144,Q16_R_ea21S3UHxZ1qV9f_2_17,R_ea21S3UHxZ1qV9f,2,17,teksten,tekst,NOUN
145,Q16_R_ea21S3UHxZ1qV9f_2_18,R_ea21S3UHxZ1qV9f,2,18,gekeken,kijken,VERB
146,Q16_R_ea21S3UHxZ1qV9f_2_19,R_ea21S3UHxZ1qV9f,2,19,worden,worden,AUX
147,Q16_R_ea21S3UHxZ1qV9f_2_20,R_ea21S3UHxZ1qV9f,2,20,.,.,PUNCT
148,Q16_R_2qgeuXLhnaBhhSj_0_0,R_2qgeuXLhnaBhhSj,0,0,Heel,heel,ADJ
149,Q16_R_2qgeuXLhnaBhhSj_0_1,R_2qgeuXLhnaBhhSj,0,1,eerlijk,eerlijk,ADJ
150,Q16_R_2qgeuXLhnaBhhSj_0_2,R_2qgeuXLhnaBhhSj,0,2,ken,kennen,VERB
151,Q16_R_2qgeuXLhnaBhhSj_0_3,R_2qgeuXLhnaBhhSj,0,3,ik,ik,PRON
152,Q16_R_2qgeuXLhnaBhhSj_0_4,R_2qgeuXLhnaBhhSj,0,4,daar,daar,ADV
153,Q16_R_2qgeuXLhnaBhhSj_0_5,R_2qgeuXLhnaBhhSj,0,5,nu,nu,ADV
154,Q16_R_2qgeuXLhnaBhhSj_0_6,R_2qgeuXLhnaBhhSj,0,6,weinig,weinig,PRON
155,Q16_R_2qgeuXLhnaBhhSj_0_7,R_2qgeuXLhnaBhhSj,0,7,zelf,zelf,ADV
156,Q16_R_2qgeuXLhnaBhhSj_0_8,R_2qgeuXLhnaBhhSj,0,8,van,van,ADP
157,Q16_R_2qgeuXLhnaBhhSj_0_9,R_2qgeuXLhnaBhhSj,0,9,",",",",PUNCT
158,Q16_R_2qgeuXLhnaBhhSj_0_10,R_2qgeuXLhnaBhhSj,0,10,wat,wat,PRON
159,Q16_R_2qgeuXLhnaBhhSj_0_11,R_2qgeuXLhnaBhhSj,0,11,jammer,jammer,ADJ
160,Q16_R_2qgeuXLhnaBhhSj_0_12,R_2qgeuXLhnaBhhSj,0,12,is,zijn,AUX
161,Q16_R_2a8DaWGsJMyeYxj_0_0,R_2a8DaWGsJMyeYxj,0,0,Wederom,wederom,ADV
162,Q16_R_2a8DaWGsJMyeYxj_0_1,R_2a8DaWGsJMyeYxj,0,1,:,:,PUNCT
163,Q16_R_2a8DaWGsJMyeYxj_0_2,R_2a8DaWGsJMyeYxj,0,2,idem,idem,ADJ
164,Q16_R_2a8DaWGsJMyeYxj_0_3,R_2a8DaWGsJMyeYxj,0,3,zoals,zoals,SCONJ
165,Q16_R_2a8DaWGsJMyeYxj_0_4,R_2a8DaWGsJMyeYxj,0,4,bij,bij,ADP
166,Q16_R_2a8DaWGsJMyeYxj_0_5,R_2a8DaWGsJMyeYxj,0,5,diversiteit,diversiteit,NOUN
167,Q16_R_ThXtrT837wX4NZD_0_0,R_ThXtrT837wX4NZD,0,0,Aparte,Aparte,ADJ
168,Q16_R_ThXtrT837wX4NZD_0_1,R_ThXtrT837wX4NZD,0,1,canon,canon,NOUN
169,Q16_R_tPoNywriawI1vAl_0_0,R_tPoNywriawI1vAl,0,0,Ik,ik,PRON
170,Q16_R_tPoNywriawI1vAl_0_1,R_tPoNywriawI1vAl,0,1,vind,vinden,VERB
171,Q16_R_tPoNywriawI1vAl_0_2,R_tPoNywriawI1vAl,0,2,dat,dat,SCONJ
172,Q16_R_tPoNywriawI1vAl_0_3,R_tPoNywriawI1vAl,0,3,de,de,DET
173,Q16_R_tPoNywriawI1vAl_0_4,R_tPoNywriawI1vAl,0,4,canon,canon,NOUN
174,Q16_R_tPoNywriawI1vAl_0_5,R_tPoNywriawI1vAl,0,5,niets,niets,PRON
175,Q16_R_tPoNywriawI1vAl_0_6,R_tPoNywriawI1vAl,0,6,móét,móét,VERB
176,Q16_R_tPoNywriawI1vAl_0_7,R_tPoNywriawI1vAl,0,7,",",",",PUNCT
177,Q16_R_tPoNywriawI1vAl_0_8,R_tPoNywriawI1vAl,0,8,behalve,behalve,SCONJ
178,Q16_R_tPoNywriawI1vAl_0_9,R_tPoNywriawI1vAl,0,9,interessante,interessant,ADJ
179,Q16_R_tPoNywriawI1vAl_0_10,R_tPoNywriawI1vAl,0,10,",",",",PUNCT
180,Q16_R_tPoNywriawI1vAl_0_11,R_tPoNywriawI1vAl,0,11,kwalitatief,kwalitatief,ADJ
181,Q16_R_tPoNywriawI1vAl_0_12,R_tPoNywriawI1vAl,0,12,sterke,sterk,ADJ
182,Q16_R_tPoNywriawI1vAl_0_13,R_tPoNywriawI1vAl,0,13,boeken,boek,NOUN
183,Q16_R_tPoNywriawI1vAl_0_14,R_tPoNywriawI1vAl,0,14,bevatten,bevatten,VERB
184,Q16_R_tPoNywriawI1vAl_0_15,R_tPoNywriawI1vAl,0,15,.,.,PUNCT
185,Q16_R_tPoNywriawI1vAl_1_0,R_tPoNywriawI1vAl,1,0,Het,het,PRON
186,Q16_R_tPoNywriawI1vAl_1_1,R_tPoNywriawI1vAl,1,1,zou,zullen,AUX
187,Q16_R_tPoNywriawI1vAl_1_2,R_tPoNywriawI1vAl,1,2,wel,wel,ADV
188,Q16_R_tPoNywriawI1vAl_1_3,R_tPoNywriawI1vAl,1,3,zeer,zeer,ADV
189,Q16_R_tPoNywriawI1vAl_1_4,R_tPoNywriawI1vAl,1,4,wenselijk,wenselijk,ADJ
190,Q16_R_tPoNywriawI1vAl_1_5,R_tPoNywriawI1vAl,1,5,zijn,zijn,AUX
191,Q16_R_tPoNywriawI1vAl_1_6,R_tPoNywriawI1vAl,1,6,.,.,PUNCT
192,Q16_R_3NQZF8GsVq0teAr_0_0,R_3NQZF8GsVq0teAr,0,0,Ik,ik,PRON
193,Q16_R_3NQZF8GsVq0teAr_0_1,R_3NQZF8GsVq0teAr,0,1,moet,moeten,AUX
194,Q16_R_3NQZF8GsVq0teAr_0_2,R_3NQZF8GsVq0teAr,0,2,toegeven,toegeven,VERB
195,Q16_R_3NQZF8GsVq0teAr_0_3,R_3NQZF8GsVq0teAr,0,3,dat,dat,SCONJ
196,Q16_R_3NQZF8GsVq0teAr_0_4,R_3NQZF8GsVq0teAr,0,4,ik,ik,PRON
197,Q16_R_3NQZF8GsVq0teAr_0_5,R_3NQZF8GsVq0teAr,0,5,niet,niet,ADV
198,Q16_R_3NQZF8GsVq0teAr_0_6,R_3NQZF8GsVq0teAr,0,6,veel,veel,DET
199,Q16_R_3NQZF8GsVq0teAr_0_7,R_3NQZF8GsVq0teAr,0,7,',',PUNCT
200,Q16_R_3NQZF8GsVq0teAr_0_8,R_3NQZF8GsVq0teAr,0,8,koloniale,koloniaal,ADJ
201,Q16_R_3NQZF8GsVq0teAr_0_9,R_3NQZF8GsVq0teAr,0,9,',',PUNCT
202,Q16_R_3NQZF8GsVq0teAr_0_10,R_3NQZF8GsVq0teAr,0,10,literatuur,literatuur,NOUN
203,Q16_R_3NQZF8GsVq0teAr_0_11,R_3NQZF8GsVq0teAr,0,11,gelezen,lezen,VERB
204,Q16_R_3NQZF8GsVq0teAr_0_12,R_3NQZF8GsVq0teAr,0,12,heb,hebben,AUX
205,Q16_R_3NQZF8GsVq0teAr_0_13,R_3NQZF8GsVq0teAr,0,13,.,.,PUNCT
206,Q16_R_3NQZF8GsVq0teAr_0_14,R_3NQZF8GsVq0teAr,0,14,',',PUNCT
207,Q16_R_3NQZF8GsVq0teAr_1_0,R_3NQZF8GsVq0teAr,1,0,Oeroeg,Oeroeg,PROPN
208,Q16_R_3NQZF8GsVq0teAr_1_1,R_3NQZF8GsVq0teAr,1,1,',',PUNCT
209,Q16_R_3NQZF8GsVq0teAr_1_2,R_3NQZF8GsVq0teAr,1,2,lijkt,lijken,VERB
210,Q16_R_3NQZF8GsVq0teAr_1_3,R_3NQZF8GsVq0teAr,1,3,me,me,PRON
211,Q16_R_3NQZF8GsVq0teAr_1_4,R_3NQZF8GsVq0teAr,1,4,absoluut,absoluut,ADJ
212,Q16_R_3NQZF8GsVq0teAr_1_5,R_3NQZF8GsVq0teAr,1,5,geschikt,geschikt,ADJ
213,Q16_R_3NQZF8GsVq0teAr_1_6,R_3NQZF8GsVq0teAr,1,6,.,.,PUNCT
214,Q16_R_3NQZF8GsVq0teAr_2_0,R_3NQZF8GsVq0teAr,2,0,Ik,ik,PRON
215,Q16_R_3NQZF8GsVq0teAr_2_1,R_3NQZF8GsVq0teAr,2,1,las,las,VERB
216,Q16_R_3NQZF8GsVq0teAr_2_2,R_3NQZF8GsVq0teAr,2,2,',',PUNCT
217,Q16_R_3NQZF8GsVq0teAr_2_3,R_3NQZF8GsVq0teAr,2,3,Max,Max,PROPN
218,Q16_R_3NQZF8GsVq0teAr_2_4,R_3NQZF8GsVq0teAr,2,4,Havelaar,Havelaar,PROPN
219,Q16_R_3NQZF8GsVq0teAr_2_5,R_3NQZF8GsVq0teAr,2,5,',',PUNCT
220,Q16_R_3NQZF8GsVq0teAr_2_6,R_3NQZF8GsVq0teAr,2,6,en,en,CCONJ
221,Q16_R_3NQZF8GsVq0teAr_2_7,R_3NQZF8GsVq0teAr,2,7,',',PUNCT
222,Q16_R_3NQZF8GsVq0teAr_2_8,R_3NQZF8GsVq0teAr,2,8,Gangreen,gangreen,NOUN
223,Q16_R_3NQZF8GsVq0teAr_2_9,R_3NQZF8GsVq0teAr,2,9,',',PUNCT
224,Q16_R_3NQZF8GsVq0teAr_2_10,R_3NQZF8GsVq0teAr,2,10,wel,wel,ADV
225,Q16_R_3NQZF8GsVq0teAr_2_11,R_3NQZF8GsVq0teAr,2,11,",",",",PUNCT
226,Q16_R_3NQZF8GsVq0teAr_2_12,R_3NQZF8GsVq0teAr,2,12,maar,maar,CCONJ
227,Q16_R_3NQZF8GsVq0teAr_2_13,R_3NQZF8GsVq0teAr,2,13,ik,ik,PRON
228,Q16_R_3NQZF8GsVq0teAr_2_14,R_3NQZF8GsVq0teAr,2,14,vermoed,vermoeden,VERB
229,Q16_R_3NQZF8GsVq0teAr_2_15,R_3NQZF8GsVq0teAr,2,15,dat,dat,SCONJ
230,Q16_R_3NQZF8GsVq0teAr_2_16,R_3NQZF8GsVq0teAr,2,16,beide,beide,DET
231,Q16_R_3NQZF8GsVq0teAr_2_17,R_3NQZF8GsVq0teAr,2,17,auteurs,auteur,NOUN
232,Q16_R_3NQZF8GsVq0teAr_2_18,R_3NQZF8GsVq0teAr,2,18,betere,goed,ADJ
233,Q16_R_3NQZF8GsVq0teAr_2_19,R_3NQZF8GsVq0teAr,2,19,werken,werk,NOUN
