,identifier,response_id,sentence_number,token_number,token,lemma,pos
0,Q16_R_25AYySSQF2YfL2D_0_0,R_25AYySSQF2YfL2D,0,0,Moet,Moeten,INTJ
1,Q16_R_25AYySSQF2YfL2D_0_1,R_25AYySSQF2YfL2D,0,1,",",",",PUNCT
2,Q16_R_25AYySSQF2YfL2D_0_2,R_25AYySSQF2YfL2D,0,2,moet,moeten,AUX
3,Q16_R_25AYySSQF2YfL2D_0_3,R_25AYySSQF2YfL2D,0,3,",",",",PUNCT
4,Q16_R_25AYySSQF2YfL2D_0_4,R_25AYySSQF2YfL2D,0,4,moet,moeten,VERB
5,Q16_R_25AYySSQF2YfL2D_0_5,R_25AYySSQF2YfL2D,0,5,....,....,PUNCT
6,Q16_R_25AYySSQF2YfL2D_0_6,R_25AYySSQF2YfL2D,0,6,Een,een,DET
7,Q16_R_25AYySSQF2YfL2D_0_7,R_25AYySSQF2YfL2D,0,7,goede,goed,ADJ
8,Q16_R_25AYySSQF2YfL2D_0_8,R_25AYySSQF2YfL2D,0,8,literaire,literair,ADJ
9,Q16_R_25AYySSQF2YfL2D_0_9,R_25AYySSQF2YfL2D,0,9,canon,canon,NOUN
10,Q16_R_25AYySSQF2YfL2D_0_10,R_25AYySSQF2YfL2D,0,10,bevát,bevát,VERB
11,Q16_R_25AYySSQF2YfL2D_0_11,R_25AYySSQF2YfL2D,0,11,ook,ook,ADV
12,Q16_R_25AYySSQF2YfL2D_0_12,R_25AYySSQF2YfL2D,0,12,Nederlandstalige,Nederlandstalig,ADJ
13,Q16_R_25AYySSQF2YfL2D_0_13,R_25AYySSQF2YfL2D,0,13,teksten,tekst,NOUN
14,Q16_R_25AYySSQF2YfL2D_0_14,R_25AYySSQF2YfL2D,0,14,uit,uit,ADP
15,Q16_R_25AYySSQF2YfL2D_0_15,R_25AYySSQF2YfL2D,0,15,de,de,DET
16,Q16_R_25AYySSQF2YfL2D_0_16,R_25AYySSQF2YfL2D,0,16,voormalige,voormalig,ADJ
17,Q16_R_25AYySSQF2YfL2D_0_17,R_25AYySSQF2YfL2D,0,17,koloniale,koloniaal,ADJ
18,Q16_R_25AYySSQF2YfL2D_0_18,R_25AYySSQF2YfL2D,0,18,gebieden,gebied,NOUN
19,Q16_R_25AYySSQF2YfL2D_0_19,R_25AYySSQF2YfL2D,0,19,.,.,PUNCT
